Record Type,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
BOAT,BOT,ALDEN,NY,14004,ERIE,1967,LONES,BOAT,GAS,,,,06/24/2021,05/31/2024,,N,N,N
BOAT,BOT,HAMPTON BAYS,NY,11946,SUFFOLK,1973,DURAN,BOAT,GAS,,,,09/07/2018,10/31/2021,,N,N,N
VEH,PAS,BROOKLYN,NY,11232,KINGS,1934,FORD,2DSD,GAS,2867,,,09/18/2019,10/21/2021,PR,N,N,N
TRL,LTR,SYRACUSE,NY,13208,ONONDAGA,1969,PUMA,LTRL,NONE,,1500,,12/03/2020,12/31/2021,GY,N,N,N
VEH,PAS,MILLER PLACE,NY,11764,SUFFOLK,1936,PACKA,4DSD,GAS,3380,,,05/11/2021,09/06/2022,BK,N,N,N
TRL,LTR,LEWISTON,NY,14092,NIAGARA,1980,MGTLT,LTRL,NONE,,2500,,06/04/2021,12/31/2021,GY,N,N,N
BOAT,BOT,BERGEN,NY,14416,GENESEE,1951,GRUMM,BOAT,GAS,,,,06/09/2020,06/30/2023,,N,N,N
TRL,LTR,PERU,NY,12972,CLINTON,2000,COXCO,LTRL,NONE,,3000,,01/01/2021,12/31/2021,BK,N,N,N
TRL,LTR,ADAMS,NY,13605,JEFFERSON,1970,COX,LTRL,NONE,,1000,,01/27/2021,12/31/2021,BK,N,N,N
VEH,SPC,WALLKILL,NY,12589,ULSTER,2009,HYDRE,EMVR,DIESEL,37632,,,10/16/2020,10/31/2021,YW,N,N,N
VEH,PAS,FAIRPORT,NY,14450,MONROE,1937,PLYMO,2DSD,GAS,2800,,,06/16/2020,07/24/2022,YW,N,N,N
VEH,HIS,STATEN ISLAND,NY,10312,RICHMOND,1924,FORD,4DSD,GAS,1500,,,10/30/2020,10/29/2021,BK,N,N,N
BOAT,BOT,ESPERANCE,NY,12066,MONTGOMERY,1970,STARC,BOAT,ELECTRIC,,,,06/11/2019,06/30/2022,,N,N,N
VEH,PAS,FLORAL PARK,NY,11001,QUEENS,1978,AUSTI,CONV,GAS,1640,,,04/23/2021,04/22/2023,BL,N,N,N
