HOUSEID,PERSONID,TDTRPNUM,STRTTIME,ENDTIME,TRVLCMIN,TRPMILES,TRPTRANS,TRPACCMP,TRPHHACC,VEHID,TRWAITTM,NUMTRANS,TRACCTM,DROP_PRK,TREGRTM,WHODROVE,WHYFROM,LOOP_TRIP,TRPHHVEH,HHMEMDRV,HH_ONTD,NONHHCNT,NUMONTRP,PSGR_FLG,PUBTRANS,TRIPPURP,DWELTIME,TDWKND,VMT_MILE,DRVR_FLG,WHYTRP1S,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,TDCASEID,TRACC_WLK,TRACC_POV,TRACC_BUS,TRACC_CRL,TRACC_SUB,TRACC_OTH,TREGR_WLK,TREGR_POV,TREGR_BUS,TREGR_CRL,TREGR_SUB,TREGR_OTH,WHYTO,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,GASPRICE,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,R_AGE,EDUC,R_SEX,PRMACT,PROXY,WORKER,DRIVER,WTTRDFIN,WHYTRP90,TRPMILAD,R_AGE_IMP,R_SEX_IMP,VEHTYPE,OBHUR,DBHUR,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
30000012,1,3,730,740,10,1.059,4,0,0,2,-1,-1,-1,-1,-1,1,1,2,1,1,1,0,1,2,2,HBSOCREC,25,2,1.059,1,50,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,10,1.1808909,45,2,3,C,C,80,17000,17000,5000,60,17000,7000,70,17000,7000,5000,90,3000,1500
30000012,1,4,805,815,10,1.014,4,0,0,2,-1,-1,-1,-1,-1,1,16,2,1,1,1,0,1,2,2,HBSOCREC,45,2,1.014,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,10,1.1307114,45,2,3,C,C,70,17000,7000,5000,90,3000,1500,80,17000,17000,5000,60,17000,7000
30000012,1,5,900,920,20,4.291,3,0,0,1,-1,-1,-1,-1,-1,1,1,2,1,1,1,0,1,2,2,HBW,295,2,4.291,1,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,2,4.7848941,45,2,1,C,S,80,17000,17000,5000,60,17000,7000,20,1500,750,750,20,3000,1500
30000012,1,6,1415,1440,25,9.087,3,0,0,1,-1,-1,-1,-1,-1,1,4,2,1,1,1,0,1,2,2,NHB,50,2,9.087,1,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,1,9.7548945,45,2,1,S,S,20,1500,750,750,20,3000,1500,20,1500,750,750,0,1500,750
30000012,1,7,1530,1605,35,6.818,3,0,0,1,-1,-1,-1,-1,-1,1,3,2,1,1,1,0,1,2,2,HBW,70,2,6.818,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,1,7.319123,45,2,1,S,C,20,1500,750,750,0,1500,750,80,17000,17000,5000,60,17000,7000
30000012,1,8,1715,1850,95,48.301,3,0,0,1,-1,-1,-1,-1,-1,1,1,2,1,1,1,0,1,2,2,HBSOCREC,125,2,48.301,1,50,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,8,53.8604451,45,2,1,C,T,80,17000,17000,5000,60,17000,7000,5,750,300,350,20,1500,750
30000012,1,9,2055,2145,50,49.457,3,0,0,1,-1,-1,-1,-1,-1,1,17,2,1,1,1,0,1,2,2,HBSOCREC,-9,2,49.457,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000120109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1,2,10,1,NY,36,1,1,201607,1,1,3,3,2,1,3,1,233.8,2,1,23,1,2,XXXXX,2,45,5,2,1,1,1,1,21522.6905132127,8,55.1495007,45,2,1,T,C,5,750,300,350,20,1500,750,80,17000,17000,5000,60,17000,7000
30000019,1,1,1500,1515,15,3.065,3,1,1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,0,2,2,2,HBO,105,2,3.065,1,30,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000190101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,240.8,5,3,53,1,2,XXXXX,2,68,1,1,97,1,2,1,85095.5760636381,6,3.4177815,68,1,1,S,C,40,300,300,150,50,750,300,50,3000,1500,1500,50,3000,1500
30000019,1,2,1700,1715,15,3.034,3,1,1,1,-1,-1,-1,-1,-1,1,18,2,1,1,2,0,2,2,2,HBO,-9,2,3.034,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000190102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,240.8,5,3,53,1,2,XXXXX,2,68,1,1,97,1,2,1,85095.5760636381,6,3.3832134,68,1,1,C,S,50,3000,1500,1500,50,3000,1500,40,300,300,150,50,750,300
30000019,2,1,1500,1515,15,3.065,3,1,1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,0,2,1,2,HBO,105,2,-1.0,2,97,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000190201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,240.8,5,3,53,1,2,XXXXX,2,66,2,2,4,2,2,1,90939.087398441,11,3.4177815,66,2,1,S,C,40,300,300,150,50,750,300,50,3000,1500,1500,50,3000,1500
