HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30000039,1,82,5,2,1,1,1,1,-1,2,2,1,4,-1,4,-1,5,4,0,-1,-1,0,-1,0,0,1,18,15,-1,08:30 AM,2,1,-1,-1,-1,0,2,-1,2,2,-1,0,1,-1,12000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,7,7.53999999999996,42,1,2,11.6199999999999,-9.0,82,1,1,4,4,-1,-1,-1,-1,2,2,2,2,2,2,2,5,1,2,2,10,2,PA,42,2,1,201609,1,2,3,3,2,1,3,1,2,1,23,1,2,XXXXX,1,2563.66000304902,S,40,7000,1500,1500,5,3000,1500
30000039,2,78,3,2,2,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,5,5,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,2,2,-1,5,1,-1,5000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,4,-9.0,-9,1,2,-9.0,-9.0,78,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,2,10,2,PA,42,2,1,201609,1,2,3,3,2,1,3,1,2,1,23,1,2,XXXXX,1,2879.24298249766,S,40,7000,1500,1500,5,3000,1500
30000041,1,44,5,2,1,1,1,1,-1,1,2,1,3,-1,4,-1,15,8,0,-1,-1,0,-1,0,4,1,60,20,-1,08:00 AM,2,1,-1,-1,-1,8,2,-1,1,3,5,-1,1,-1,12000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,53.1699999999983,6,1,2,75.0299999999988,-9.0,44,1,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,2,2,11,2,CA,6,2,2,201606,1,2,3,3,1,1,2,1,9,4,93,1,2,XXXXX,2,892.495772690771,T,40,300,50,25,40,300,300
30000041,2,40,1,2,2,2,1,1,-1,1,2,1,3,-1,4,-1,10,5,0,-1,-1,0,-1,0,7,1,120,90,-1,10:00 AM,2,2,-1,-1,-1,11,2,-1,1,3,5,-1,1,-1,10000,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,60.2299999999996,6,1,2,78.9699999999975,-9.0,40,2,3,4,3,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,2,2,11,2,CA,6,2,2,201606,1,2,3,3,1,1,2,1,9,4,93,1,2,XXXXX,2,752.790601346399,T,40,300,50,25,40,300,300
30000062,1,50,4,2,1,2,1,1,-1,2,2,1,3,-1,4,-1,7,4,1,1,0,0,-1,0,0,1,75,65,-1,08:20 AM,2,1,-1,-1,-1,7,2,-1,1,2,-1,7,1,-1,40000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,4,50.9699999999993,48,1,2,60.5999999999985,-9.0,50,2,4,3,4,3,3,-1,6,-1,-1,-1,-1,-1,-1,-1,5,1,2,6,10,2,TX,48,2,1,201609,1,10,4,6,2,4,6,2,7,3,74,1,2,XXXXX,2,251.502628410924,R,20,50,50,25,5,50,50
30000062,2,50,4,2,2,1,6,6,2,-1,-1,-1,-1,-1,-1,-1,25,4,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,1,3,7,-1,1,-1,50000,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,50,1,4,2,4,3,6,2,6,-1,-1,-1,-1,-1,-1,-1,5,1,2,6,10,2,TX,48,2,1,201609,1,10,4,6,2,4,6,2,7,3,74,1,2,XXXXX,2,277.794426660864,R,20,50,50,25,5,50,50
30000082,1,39,5,2,1,2,1,1,-1,2,2,1,3,-1,2,-1,3,2,0,-1,-1,0,-1,0,0,1,4,3,-1,08:30 AM,1,1,2,-1,-1,3,2,-1,2,2,-1,2,1,-1,8000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,5,1.03999999999996,36,1,2,1.64999999999998,-9.0,39,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,2,8,2,NY,36,2,2,201605,1,4,3,3,2,1,3,1,2,1,23,1,2,XXXXX,2,1028.81476847921,T,20,1500,300,750,30,750,300
30000082,2,38,4,2,2,1,1,1,-1,2,2,1,3,-1,4,-1,0,-1,0,-1,-1,0,-1,0,0,1,42,36,-1,08:45 AM,1,2,2,-1,-1,5,2,-1,2,2,-1,2,1,-1,15000,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,7,24.3499999999995,36,1,2,30.04,-9.0,38,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,2,8,2,NY,36,2,2,201605,1,4,3,3,2,1,3,1,2,1,23,1,2,XXXXX,2,1296.33934490804,T,20,1500,300,750,30,750,300
30000085,1,30,4,1,1,1,97,1,-1,2,2,1,1,-1,4,-1,10,3,0,-1,-1,0,-1,0,10,-9,5,-1,-1,07:45 AM,2,1,-1,-1,-1,6,2,-1,3,2,-1,3,1,-1,1500,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,6,0.169999999999995,6,1,2,0.229999999999997,-9.0,30,1,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,9,1,CA,6,1,1,201608,1,1,2,5,2,1,4,1,9,4,92,97,1,41740,2,277.748858319059,U,50,17000,17000,5000,50,30000,17000
30000089,1,33,3,1,1,1,1,1,-1,2,2,1,3,-1,3,-1,2,2,0,-1,-1,0,-1,0,0,1,20,18,-1,04:00 PM,2,2,-1,-1,-1,3,2,-1,3,2,-1,5,1,-1,10000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,9.7199999999998,48,1,2,12.2599999999998,-9.0,33,1,1,1,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,4,2,7,2,TX,48,2,2,201612,1,4,3,3,2,4,6,2,7,3,73,1,1,XXXXX,2,1170.28437735281,T,20,1500,750,750,30,1500,300
30000089,2,33,3,1,2,2,1,1,-1,2,2,1,3,-1,4,-1,2,2,0,-1,-1,0,-1,0,0,1,35,30,-1,07:30 AM,1,2,0,-1,-1,0,2,-1,1,2,-1,4,1,-1,15000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,23.8399999999992,48,1,2,31.5699999999997,-9.0,33,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,4,2,7,2,TX,48,2,2,201612,1,4,3,3,2,4,6,2,7,3,73,1,1,XXXXX,2,926.34219782233,T,20,1500,750,750,30,1500,300
30000094,1,30,5,1,1,2,1,1,-1,2,2,1,3,-1,4,-1,10,0,0,-1,-1,0,-1,0,1,1,15,15,-1,08:00 AM,2,1,-1,-1,-1,4,2,-1,2,2,-1,0,2,2004,-88,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,6.56999999999994,6,1,2,8.09999999999991,-9.0,30,2,3,3,1,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,1,1,4,1,CA,6,1,1,201610,1,1,3,1,2,1,1,1,9,4,93,1,1,XXXXX,2,184.981623569873,T,20,300,300,150,20,300,300
30000095,1,75,5,2,1,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,5,5,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,3,2,-1,3,1,-1,13000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,9,-9.0,-9,1,2,-9.0,-9.0,75,1,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,1,1,6,1,WI,55,1,0,201607,1,9,3,3,2,1,2,1,3,2,33,1,2,XXXXX,2,36.4716965226613,S,5,7000,3000,3000,5,7000,3000
30000107,1,61,3,2,1,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,1,3,21,-1,1,-1,40000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,5,-9.0,-9,1,2,-9.0,-9.0,61,1,2,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,3,8,2,TX,48,2,0,201612,1,2,2,5,2,1,4,1,7,3,72,1,2,19100,2,57.6897580469415,C,5,7000,1500,3000,20,7000,1500
30000107,2,59,3,2,2,2,6,4,2,-1,-1,-1,-1,-1,-1,-1,7,7,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,2,-1,1,2,-1,5,1,-1,12000,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,6,-9.0,-9,1,2,-9.0,-9.0,59,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,3,8,2,TX,48,2,0,201612,1,2,2,5,2,1,4,1,7,3,72,1,2,19100,2,54.1960401369189,C,5,7000,1500,3000,20,7000,1500
30000128,1,22,4,2,1,2,1,5,2,-1,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,2,-1,3,1,-1,-88,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,1,-9.0,-9,1,2,-9.0,-9.0,22,2,3,1,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,1,2,ME,23,2,0,201605,1,2,3,1,2,1,1,1,1,1,13,1,2,XXXXX,1,15223.4632896368,C,30,300,300,150,60,3000,1500
